"key","English","Chinese","Spanish","French","Japanese","Russian"
"Brazil","","巴西","Brasil","Brésil","ブラジル","Бразилия"
"Cuba","","古巴","Cuba","Cuba","キューバ","Куба"
"Mexico","","墨西哥","México","Mexique","メキシコ","Мексика"
"NorthKorea","North Korea","朝鲜","Corea del Norte","Corée du Nord","北朝鮮","Северная Корея"
"SouthKorea","South Korea","韩国","Corea del Sur","Corée du Sud","韓国","Южная Корея"
"Vietnam","","越南","Vietnam","Vietnam","ベトナム","Вьетнам"
"Australia","","澳大利亚","Australia","Australie","オーストラリア","Австралия"
"NewZealand","New Zealand","纽西兰","Nueva Zelanda","Nouvelle-Zélande","ニュージーランド","Новая Зеландия"
"Canada","","加拿大","Canadá","Canada","カナダ","Канада"
"Chile","","智利","Chile","Chili","チリ","Чили"
"Colombia","","哥伦比亚","Colombia","Colombie","コロンビア","Колумбия"
"CommieGreece","Communist Greece","希腊苏维埃","Grecia comunista","Grèce communiste","共産主義ギリシャ","Коммунистическая Греция"
"Indonesia","","印度尼西亚","Indonesia","Indonésie","インドネシア","Индонезия"
"Malaysia","","马来西亚","Malasia","Malaisie","マレーシア","Малайзия"
"Singapore","","新加坡","Singapur","Singapour","シンガポール","Сингапур"
"Argentina","","阿根廷","Argentina","Argentine","アルゼンチン","Аргентина"
"ChineseGuangxi","Guangxi Clique","广西军阀","Guangxi chino","Chinois Guangxi","中国の広西","Китайский Гуанси"
"ChineseShanxi","Shanxi Clique","山西军阀","Shanxi chino","Chinois Shanxi","中国の山西省","Китайский Шаньси"
"ChineseSinkiang","Sinkiang Clique","新疆军阀","Chino Sinkiang","Chinois Sinkiang","中国の新疆ウイグル自治区","Китайский Синьцзян"
"ChineseTibet","Tibet","中国西藏","Tíbet chino","Tibet chinois","中国のチベット","Китайский Тибет"
"ChineseXibeiSanma","Xibei Sanma Clique","西北三马军阀","Chino Xibei Sanma","Chinois Xibei Sanma","中国の西北三马","Китайский Xibei Sanma"
"ChineseYunnan","Yunnan Clique","云南军阀","Yunnan chino","Yunnan chinois","中国雲南","Китайский Юньнань"
"Guangxi Clique","","广西军阀","Camarilla de Guangxi","Clique du Guangxi","広西派","Гуанси Клика"
"Shanxi Clique","","山西军阀","Camarilla de Shanxi","Clique du Shanxi","山西派","Шаньси Клика"
"Sinkiang Clique","","新疆军阀","Camarilla de Sinkiang","Clique du Sinkiang","新疆クリーク","Sinkiang Clique"
"Xibei Sanma Clique","","西北三马军阀","La camarilla de Xibei Sanma","Clique Xibei Sanma","西北三马クリーク","Сибэй Санма Клика"
"Yunnan Clique","","云南军阀","La camarilla de Yunnan","Clique du Yunnan","雲南クリーク","Юньнаньская клика"
"Nationalist China","","中华民国","China nacionalista","Chine nationaliste","国民政府中国","Националистический Китай"
"Communist China","","中华苏维埃共和国","China comunista","Chine communiste","共産党中国","Коммунистический Китай"
"Mongolia","","蒙古","Mongolia","Mongolie","モンゴル","Монголия"
"NatoUSA","NATO USA","北约美国","OTAN Estados Unidos","Amérique de l'OTAN","NATOアメリカ","НАТО США"
"NatoROC","NATO ROC","北约中华民国","OTAN ROC","Chine de l'OTAN","NATO中華民国","НАТО ROC"
"NatoUK","NATO UK","北约英国","OTAN Reino Unido","OTAN Royaume-Uni","NATO UK","НАТО Великобритания"
"NatoFrance","NATO France","北约法国","OTAN Francia","OTAN France","NATOフランス","НАТО Франция"
"Israel","","以色列","Israel","Israël","イスラエル","Израиль"
"Egypt","","埃及","Egipto","Egypte","エジプト","Египет"
"Liberia","","利比里亚","Liberia","Libéria","リベリア","Либерия"
"Albania","","阿尔巴尼亚","Albania","Albanie","アルバニア","Албания"
"Ethiopia","","埃塞俄比亚","Etiopía","Ethiopie","エチオピア","Эфиопия"
"SouthAfrica","South Africa","南非","Sudáfrica","Afrique du Sud","南アフリカ","Южная Африка"
"CommieIraq","Iraq 2","伊拉克2","Irak 2","Irak","イラク","Ирак"
"PRCNew","PRC","中华人民共和国","China","China","中華人民共和国","Китай"
"WestGermany","West Germany","西德","Alemania occidental","Allemagne de l'Ouest","西ドイツ","Западная Германия"
"EastGermany","East Germany","东德","Alemania del Este","Allemagne de l'est","東ドイツ","Восточная Германия"
"NeutralThailand","Neutral Thailand","中立泰国","Neutral Tailandia","Neutre Thaïlande","ニュートラルタイ","Нейтральный Таиланд"
"Soviet","Soviet Union","苏联","Soviético","soviétique","ソビエト","Советский"
"Soviet Union","","苏联","Unión Soviética","Union soviétique","ソビエト連邦","Советский Союз"
"Soviet2","Soviet Union 2","苏联2","Soviético 2","Soviétique2","ソビエト2","Советский2"
"German","Germany","二战德国","Alemania","Allemagne","ドイツ人","Германия"
"Germany","","二战德国","Alemania","Allemagne","ドイツ","Германия"
"German2","Germany 2","二战德国2","Alemania2","Allemagne2","ドイツ語2","Германия2"
